1.68902;0.01018;-0.02036;9.81599;0.00027;-0.01491;0.00333;
1.69660;0.00719;-0.00778;9.83754;0.00386;-0.01345;0.00479;
1.70418;0.00299;-0.06586;9.81060;0.00546;-0.01065;0.00240;
1.71174;0.01617;-0.02515;9.81599;0.01118;-0.01092;0.00439;
1.71934;0.03054;0.03233;9.83215;0.00919;-0.00959;0.00346;
1.72692;-0.00120;-0.00599;9.83036;0.00506;-0.00999;0.00280;
1.73449;0.00000;-0.07844;9.78665;0.00599;-0.00879;0.00186;
1.74206;-0.00120;-0.06526;9.76869;0.01079;-0.01012;0.00053;
1.74967;-0.00060;-0.01198;9.79264;0.01305;-0.01318;0.00213;
1.75729;-0.01018;-0.04072;9.75192;0.01185;-0.01212;0.00186;
1.76491;0.00359;0.00659;9.81719;0.01198;-0.01238;0.00000;
1.77241;0.00539;-0.00299;9.80341;0.01212;-0.01238;0.00027;
1.77999;0.01856;-0.02934;9.81000;0.01198;-0.01079;0.00253;
1.78756;0.01976;-0.02575;9.79623;0.01158;-0.00999;0.00173;
1.79517;0.01198;-0.06886;9.74953;0.01345;-0.00959;0.00027;
1.80277;0.02874;-0.07125;9.73037;0.01558;-0.00786;-0.00186;
1.81038;0.01377;-0.02215;9.77348;0.01771;-0.00706;-0.00146;
1.81800;0.00719;-0.02215;9.82257;0.01651;-0.00812;-0.00160;
1.82560;0.00060;-0.04850;9.78246;0.02077;-0.00453;-0.00506;
1.83320;0.00419;-0.02455;9.82018;0.02210;-0.00493;-0.00386;
1.84081;-0.00599;0.01617;9.82557;0.02130;-0.00266;-0.00333;
1.84844;-0.00060;0.01677;9.83096;0.01545;-0.00413;-0.00413;
1.85606;-0.00479;-0.00060;9.81719;0.01385;-0.00506;-0.00200;
1.86366;-0.00419;-0.00359;9.81359;0.01305;-0.00559;0.00000;
1.87121;-0.00838;0.02754;9.85131;0.01145;-0.00559;0.00067;
1.87877;0.00539;0.03413;9.83395;0.01012;-0.00559;-0.00186;
1.88636;-0.00359;-0.01317;9.82138;0.01145;-0.00652;-0.00133;
1.89400;-0.00838;0.01138;9.83575;0.01305;-0.00479;0.00120;
1.90159;-0.00958;0.01018;9.81120;0.01198;-0.00506;0.00120;
1.90916;0.01497;-0.04072;9.78964;0.00959;-0.00546;0.00013;
1.91674;0.02036;-0.03712;9.78126;0.00959;-0.00599;0.00133;
1.92433;0.01916;-0.03473;9.76270;0.01065;-0.00493;0.00027;
1.93192;0.00299;-0.04191;9.78246;0.01079;-0.00613;-0.00093;
1.93953;0.01736;-0.03533;9.81659;0.01252;-0.00706;-0.00133;
1.94717;0.00539;-0.00180;9.83096;0.01451;-0.00559;-0.00120;
1.95475;0.00659;-0.01617;9.78246;0.01212;-0.00652;0.00000;
1.96230;0.00778;-0.00359;9.79743;0.01358;-0.00613;0.00107;
1.96988;-0.00479;-0.01078;9.86988;0.01531;-0.00732;0.00000;
1.97744;0.00240;0.01377;9.84054;0.01358;-0.00586;-0.00040;
1.98502;0.00898;0.01257;9.79264;0.01305;-0.00519;-0.00013;
1.99260;0.00240;-0.01257;9.82257;0.01358;-0.00386;-0.00173;
